,EquipoAnf,EquipoVis,ResulAnf,ResulVis,Fecha,Estadio,Ciudad,Arbitro,Provincia,tmed,prec
6041,Barcelona,Sporting de Gijón,6,0,2016-04-23,Camp Nou,Barcelona,Clos Gómez,BARCELONA,14.700000000000001,2.25
6042,Eibar,Deportivo de La Coruña,1,1,2016-04-23,Estadio Municipal de Ipurua,Eibar,Prieto Iglesias,GIPUZKOA,12.466666666666663,4.366666666666666
6043,Atlético de Madrid,Málaga,1,0,2016-04-23,Vicente Calderón,Madrid,Mateu Lahoz,MADRID,11.623076923076924,2.715384615384615
6044,Rayo Vallecano,Real Madrid,2,3,2016-04-23,Estadio de Vallecas,Madrid,Hernández Hernández,MADRID,11.623076923076924,2.715384615384615
6045,Villarreal,Real Sociedad,0,0,2016-04-24,El Madrigal,Villarreal,Fernández Borbalán,CASTELLON,12.075,0.0
6046,Getafe,Valencia,2,2,2016-04-24,Coliseum Alfonso Pérez,Getafe,De Burgos Bengoetxea,MADRID,10.607692307692307,0.015384615384615385
6047,Sevilla,Betis,2,0,2016-04-24,Estadio Ramón Sánchez-Pizjuán,Sevilla,Velasco Carballo,SEVILLA,17.119999999999997,0.02
6048,Levante,Athletic Club,2,2,2016-04-24,Ciutat de Valencia,Valencia,Iglesias Villanueva,VALENCIA,17.714285714285715,0.0
6049,Celta de Vigo,Granada,2,1,2016-04-25,Balaidos,Vigo,Gil Manzano,PONTEVEDRA,14.55,0.0
6050,Sporting de Gijón,Eibar,2,0,2016-04-29,El Molinón,Gijón,Hernández Hernández,ASTURIAS,9.363636363636363,1.7909090909090912
6051,Real Sociedad,Real Madrid,0,1,2016-04-30,Anoeta,San Sebastián,Undiano Mallenco,GIPUZKOA,10.383333333333333,1.7666666666666668
6052,Granada,Las Palmas,3,2,2016-04-30,Estadio Nuevo Los Carmenes,Granada,González González,GRANADA,18.1,0.08
6053,Atlético de Madrid,Rayo Vallecano,1,0,2016-04-30,Vicente Calderón,Madrid,Sánchez Martínez,MADRID,10.984615384615383,0.007692307692307693
6054,Betis,Barcelona,0,2,2016-04-30,Benito Villamarín,Sevilla,Mateu Lahoz,SEVILLA,19.419999999999998,0.02
6055,Deportivo de La Coruña,Getafe,0,2,2016-05-01,Estadio Municipal de Riazor,La Coruña,Clos Gómez,A CORUÑA,11.275,0.0
